Track Name,Corner Name,Latitude,Longitude
Debug Course - Long Course,1,43.046695,-89.445504
Debug Course - Long Course,2,43.048697,-89.445533
Debug Course - Long Course,3,43.04856,-89.444294
Debug Course - Long Course,4,43.047354,-89.444288
Debug Course - Long Course,5,43.047053,-89.44297
Debug Course - Long Course,6,43.048532,-89.443065
Debug Course - Long Course,7,43.048956,-89.439338
Debug Course - Long Course,8,43.048261,-89.438775
Debug Course - Long Course,9,43.043911,-89.443848
Debug Course - Long Course,10,43.044611,-89.444867
Debug Course - Long Course,11,43.046252,-89.443627
