deltaMs,gpsLat,gpsLon,speed,rawLatG,rawLongG
49,43.04657874,-89.44435108,0.019763073,-0.042810865,-0.01945682
337,43.04657848,-89.44435072,0.019763073,-0.007706831,-0.010665657
393,43.04657848,-89.44435072,0.019763073,-0.01410747,0.020030553
455,43.04657848,-89.44435072,0.019763073,-0.004458188,0.034004163
513,43.04657848,-89.44435072,0.019763073,-0.011138855,0.082227744
574,43.04657848,-89.44435072,0.019763073,-0.011432568,0.10326708
633,43.04657848,-89.44435072,0.019763073,-0.016695736,0.11910033
691,43.04657848,-89.44435072,0.019763073,-0.005604532,0.12777586
751,43.04657848,-89.44435072,0.019763073,-0.012004548,0.14838882
809,43.04657848,-89.44435072,0.019763073,4.64E-04,0.14979893
866,43.04657848,-89.44435072,0.019763073,0.005964793,0.14898439
923,43.04657848,-89.44435072,0.019763073,-0.01644245,0.14294623
984,43.04657848,-89.44435072,0.019763073,-0.011113872,0.142119
1044,43.04657848,-89.44435072,0.019763073,-0.006038794,0.1543239
1101,43.04657848,-89.44435072,0.019763073,-0.008557866,0.15497875
1161,43.04657848,-89.44435072,0.019763073,-0.008409079,0.15129389
1218,43.04657848,-89.44435072,0.019763073,-0.014177087,0.1497871
1279,43.04657857,-89.44434958,0.036431238,-0.018015938,0.16017444
1338,43.04657857,-89.44434958,0.036431238,-0.028488878,0.16383384
1396,43.04657857,-89.44434958,0.036431238,-0.024910172,0.17352082
1453,43.04657857,-89.44434958,0.036431238,-0.01946335,0.16258943
1509,43.04657857,-89.44434958,0.036431238,-0.010211457,0.15339193
1566,43.04657857,-89.44434958,0.036431238,-0.014943892,0.15951346
1622,43.04657857,-89.44434958,0.036431238,-0.02532876,0.14434087
1677,43.04657857,-89.44434958,0.036431238,-0.022701394,0.17878439
1732,43.04657857,-89.44434958,0.036431238,-0.033676937,0.17693557
1791,43.04657857,-89.44434958,0.036431238,-0.015584943,0.1746706
1848,43.04657857,-89.44434958,0.036431238,-0.020345502,0.19790407
1904,43.04657857,-89.44434958,0.036431238,-0.008789302,0.18906301
1962,43.04657857,-89.44434958,0.036431238,-0.025064584,0.1598237
2018,43.04657857,-89.44434958,0.036431238,-0.026358522,0.20690022
2075,43.04657857,-89.44434958,0.036431238,-0.021453971,0.16849412
2135,43.04657857,-89.44434958,0.036431238,-0.039612822,0.13807428
2194,43.04657857,-89.44434958,0.036431238,-0.02512996,0.24520083
2250,43.04657857,-89.44434958,0.036431238,-0.04658127,0.22413835
2312,43.04657901,-89.4443495,0.173635963,-0.019828912,0.19952191
2371,43.04657901,-89.4443495,0.173635963,-0.049672052,0.1594863
2426,43.04657901,-89.4443495,0.173635963,-0.05614269,0.14117587
2487,43.04657901,-89.4443495,0.173635963,-0.030025527,0.20253024
2544,43.04657901,-89.4443495,0.173635963,-0.029365622,0.16798413
2600,43.04657901,-89.4443495,0.173635963,-6.52E-04,0.16674227
2656,43.04657901,-89.4443495,0.173635963,0.02825752,0.17354746
2712,43.04657901,-89.4443495,0.173635963,0.034851573,0.14067073
2770,43.04657901,-89.4443495,0.173635963,-0.007475935,0.12637256
2834,43.04657901,-89.4443495,0.173635963,0.004919271,0.12119076
2892,43.04657901,-89.4443495,0.173635963,-0.007797191,0.12652008
2951,43.04657901,-89.4443495,0.173635963,-0.028073289,0.0737079
3009,43.04657901,-89.4443495,0.173635963,0.019057497,0.07259904
3071,43.04657901,-89.4443495,0.173635963,0.040342867,0.08785227
3131,43.04657901,-89.4443495,0.173635963,0.01148291,0.055502545
3192,43.04657901,-89.4443495,0.173635963,0.024059035,0.08201865
3249,43.04657901,-89.4443495,0.173635963,-0.019688593,0.083341226
3308,43.04658214,-89.44437027,0.55052643,0.048372753,0.05696401
3367,43.04658214,-89.44437027,0.55052643,0.006298296,0.02410769
3425,43.04658214,-89.44437027,0.55052643,0.045628812,0.04067311
3483,43.04658214,-89.44437027,0.55052643,0.061446644,-0.008696518
3543,43.04658214,-89.44437027,0.55052643,0.10535753,-0.1130262
3604,43.04658214,-89.44437027,0.55052643,0.09158909,-0.10486846
3667,43.04658214,-89.44437027,0.55052643,0.11354192,-0.095935546
3731,43.04658214,-89.44437027,0.55052643,0.17300026,-0.14942674
3788,43.04658214,-89.44437027,0.55052643,0.14768757,-0.054608233
3849,43.04658214,-89.44437027,0.55052643,0.088618904,-0.09829871
3908,43.04658214,-89.44437027,0.55052643,0.13673559,-0.11027742
3971,43.04658214,-89.44437027,0.55052643,0.09344376,-0.110152364
4032,43.04658214,-89.44437027,0.55052643,0.115640834,-0.1403356
4098,43.04658214,-89.44437027,0.55052643,0.14045702,-0.067928284
4161,43.04658214,-89.44437027,0.55052643,0.12542672,-0.10113396
4224,43.04658214,-89.44437027,0.55052643,0.1529524,-0.066217676
4292,43.04658781,-89.4444164,1.27710188,0.09530373,-0.003804257
4350,43.04658781,-89.4444164,1.27710188,0.20132689,0.030262262
4409,43.04658781,-89.4444164,1.27710188,0.15327433,-0.030742778
4467,43.04658781,-89.4444164,1.27710188,0.13470398,-0.001844412
4527,43.04658781,-89.4444164,1.27710188,0.16793728,0.03393967
4590,43.04658781,-89.4444164,1.27710188,0.13544582,0.041248605
4652,43.04658781,-89.4444164,1.27710188,0.1178771,0.029777603
4712,43.04658781,-89.4444164,1.27710188,0.15612926,0.059910778
4769,43.04658781,-89.4444164,1.27710188,0.11750462,0.041846734
4833,43.04658781,-89.4444164,1.27710188,0.14188926,0.046713125
4890,43.04658781,-89.4444164,1.27710188,0.16365702,-0.033986196
4948,43.04658781,-89.4444164,1.27710188,0.11509431,0.11979585
5008,43.04658781,-89.4444164,1.27710188,0.19599712,0.10086034
5072,43.04658781,-89.4444164,1.27710188,0.14863588,0.1186686
5135,43.04658781,-89.4444164,1.27710188,0.073055506,0.023864541
5204,43.04658781,-89.4444164,1.27710188,0.47222036,0.024456067
5264,43.04660031,-89.44447466,2.090432576,0.38032725,-0.10038728
5322,43.04660031,-89.44447466,2.090432576,0.20009643,0.024311272
5388,43.04660031,-89.44447466,2.090432576,0.1922283,-0.11472637
5450,43.04660031,-89.44447466,2.090432576,0.25024688,-0.054163445
5506,43.04660031,-89.44447466,2.090432576,0.19022831,-0.09527491
5564,43.04660031,-89.44447466,2.090432576,0.17577398,-0.12707843
5621,43.04660031,-89.44447466,2.090432576,0.18411314,-0.03770847
5682,43.04660031,-89.44447466,2.090432576,0.19732308,-0.017199662
5742,43.04660031,-89.44447466,2.090432576,0.13134073,0.003390017
5806,43.04660031,-89.44447466,2.090432576,0.3172381,-0.10278361
5863,43.04660031,-89.44447466,2.090432576,0.3704131,-0.022691423
5919,43.04660031,-89.44447466,2.090432576,0.26061958,-0.12147659
5977,43.04660031,-89.44447466,2.090432576,0.29811502,-0.004689571
6033,43.04660031,-89.44447466,2.090432576,0.27966857,-0.00773687
6089,43.04660031,-89.44447466,2.090432576,0.27580097,-0.05488372
6151,43.04660031,-89.44447466,2.090432576,0.27959314,-0.036370505
6210,43.04660031,-89.44447466,2.090432576,0.11486715,0.03648494
6276,43.04661462,-89.44452252,2.696753175,0.2338623,-0.016004236
6332,43.04661462,-89.44452252,2.696753175,0.22754033,0.05387225
6389,43.04661462,-89.44452252,2.696753175,0.193741,0.062852964
6449,43.04661462,-89.44452252,2.696753175,0.06038857,-0.10794741
6505,43.04661462,-89.44452252,2.696753175,0.16742122,-0.007412722
6561,43.04661462,-89.44452252,2.696753175,0.20501307,-0.097860254
6617,43.04661462,-89.44452252,2.696753175,0.22812113,-0.01130159
6672,43.04661462,-89.44452252,2.696753175,0.24781647,-0.040171877
6735,43.04661462,-89.44452252,2.696753175,0.30477843,0.011861123
6794,43.04661462,-89.44452252,2.696753175,0.1838232,0.015256652
6856,43.04661462,-89.44452252,2.696753175,0.06981555,-0.031927288
6912,43.04661462,-89.44452252,2.696753175,0.14113764,0.083920866
6973,43.04661462,-89.44452252,2.696753175,0.14185582,0.012260675
7035,43.04661462,-89.44452252,2.696753175,0.19470198,-0.023145849
7097,43.04661462,-89.44452252,2.696753175,0.26458794,-0.026901796
7156,43.04661462,-89.44452252,2.696753175,0.18593985,9.22E-04
7213,43.04661462,-89.44452252,2.696753175,0.23990342,-0.056283507
7274,43.04663531,-89.44455844,3.058179278,0.18647107,-0.062287636
7339,43.04663531,-89.44455844,3.058179278,0.16336393,0.01971871
7396,43.04663531,-89.44455844,3.058179278,0.06933504,0.044903565
7451,43.04663531,-89.44455844,3.058179278,0.06278059,0.006221725
7509,43.04663531,-89.44455844,3.058179278,0.0390295,0.003224017
7572,43.04663531,-89.44455844,3.058179278,0.14244685,0.01528914
7631,43.04663531,-89.44455844,3.058179278,0.08206375,0.011446682
7695,43.04663531,-89.44455844,3.058179278,0.05396714,-0.01857314
7753,43.04663531,-89.44455844,3.058179278,0.017853655,-0.01792627
7814,43.04663531,-89.44455844,3.058179278,0.00478946,-0.035965335
7875,43.04663531,-89.44455844,3.058179278,0.04207579,-0.04951265
7933,43.04663531,-89.44455844,3.058179278,-0.046458263,0.005237308
7992,43.04663531,-89.44455844,3.058179278,-0.012034714,0.039133936
8049,43.04663531,-89.44455844,3.058179278,-0.005108669,0.003354356
8109,43.04663531,-89.44455844,3.058179278,0.044182166,0.00548975
8167,43.04663531,-89.44455844,3.058179278,0.09983922,-0.009354775
8225,43.04663531,-89.44455844,3.058179278,-0.050842196,-0.11951776
8285,43.04666195,-89.44457702,3.23145889,0.06267062,-0.052603167
8340,43.04666195,-89.44457702,3.23145889,-0.06343525,-0.004925314
8397,43.04666195,-89.44457702,3.23145889,-0.079087436,-0.064631134
8456,43.04666195,-89.44457702,3.23145889,0.047142867,0.011378871
8515,43.04666195,-89.44457702,3.23145889,0.060184546,0.03677695
8572,43.04666195,-89.44457702,3.23145889,0.14991634,0.11058667
8630,43.04666195,-89.44457702,3.23145889,-0.03422797,0.05780504
